	sex	residence	name	blood_group	birthdate	address	current_location	race	ssn
1717	M	"3484 Jones Expressway
East Susan, KY 20056"	Nicholas Martinez	B-	1991/03/26	"00975 Miller Knolls
Knoxmouth, WA 13235"	(Decimal('-37.9044815'), Decimal('-64.374650'))	White	745-27-6453
1718	F	"8446 Michael Cliff
Ramirezberg, MN 69274"	Connie Novak	B-	11/14/1923, 00:00:00	"691 Cervantes Port
West Sandraside, HI 67402"	(Decimal('-79.570521'), Decimal('109.590984'))	Black	867-50-8907
1719	M	"79200 Denise Cliffs
East Amyview, IA 61047"	Larry Cantu Jr.	A-	2000-05-29	"1524 Debra Isle Suite 209
New Priscilla, NH 76087"	(Decimal('68.6565615'), Decimal('-157.269893'))	White	470-06-3868
1720	M	"203 Rachel Turnpike
Burkeberg, UT 11251"	Michael Hall	A+	28 Aug 1938	"3957 Evelyn Club
Edwardsstad, IN 25241"	(Decimal('28.9221815'), Decimal('-22.525756'))	White	111-85-8229
1721	F	"Unit 4390 Box 2469
DPO AA 38013"	Lisa Robinson	AB-	28 Oct 1910	"22760 Lynch Drive
Aliciamouth, DC 01570"	(Decimal('8.6245085'), Decimal('45.048682'))	Asian	464-99-9135
1722	M	"44382 Walton Junction Apt. 410
Millertown, KS 16453"	Timothy Harris	B-	2011-07-28	"98545 Jacqueline Springs
Mcmillanshire, NC 52526"	(Decimal('31.8490265'), Decimal('8.669957'))	Black	375-01-5160
1723	M	"77862 Lisa Bypass Suite 739
Monicamouth, OR 99857"	Rodney Horton	B+	1959/03/02	"1273 Noah Junctions
Drakeland, HI 42135"	(Decimal('-40.296365'), Decimal('21.499003'))	Black	044-98-7940
1724	F	"73350 Charles Highway
South Davidmouth, AK 97728"	Donna Smith	AB+	11/11/1930, 00:00:00	"2057 Watson Islands Apt. 514
Gonzalezchester, NV 22352"	(Decimal('-62.753976'), Decimal('-63.183888'))	White	679-34-9900
1725	M	"376 Robert Courts
Yoderburgh, AL 04037"	Ryan Buckley	A+	1963-11-02	"059 James Shores Apt. 855
West Adrian, AK 08850"	(Decimal('-85.7400135'), Decimal('-20.409699'))	Indian	758-02-2601
1726	F	"9683 Elizabeth Valleys
Garyview, MO 19915"	Paula Luna	O+	04/12/2012, 00:00:00	"6808 Renee Isle
Port Alexa, NC 31171"	(Decimal('11.016670'), Decimal('-91.426219'))	White	210-24-8137
1727	F	"96743 Richard Gardens Apt. 233
Frazierchester, WY 72442"	Lisa Hale	AB-	09/13/1933, 00:00:00	"PSC 2904, Box 0445
APO AA 53009"	(Decimal('-60.1924405'), Decimal('106.927645'))	Black	664-99-8299
1728	M	"47971 Yu Heights Suite 253
Lake Annemouth, DC 90909"	Raymond Martin	O+	1958-06-20	"7560 Stephanie Valleys
Chrisside, MA 27263"	(Decimal('56.6994305'), Decimal('-59.213116'))	Hawaiian	501-16-8535
1729	M	"42612 Duarte Fords
Shawmouth, MD 55988"	Philip Phillips	O+	08/18/1954, 00:00:00	"700 Flowers Lakes
Lake Debrafurt, ND 60149"	(Decimal('36.2458795'), Decimal('-157.569538'))	Black	152-05-1990
1730	F	"7440 Andrew Center Suite 338
South Daniellemouth, MS 92708"	Sandra Allen	AB-	1994/09/10	"74972 Mark Groves
Lake Christianville, RI 72052"	(Decimal('14.292049'), Decimal('-143.973799'))	White	057-01-6299
1731	M	"77287 Sparks Shoals Suite 613
West Hectorside, VT 57607"	Patrick Smith	A-	21 Oct 1929	"339 Hicks Squares
Thomaston, IN 70001"	(Decimal('-24.915498'), Decimal('-101.401621'))	White	641-93-2343
1732	M	"2622 Hudson Viaduct Suite 219
Haysside, AK 35410"	Steven Jones	O-	07/27/1921, 00:00:00	"23776 Amanda Tunnel Suite 060
North Tammy, WV 76226"	(Decimal('41.6575365'), Decimal('-172.372059'))	Black	671-51-7385
1733	M	"522 Hart Flats Apt. 223
Patriciaview, WA 68538"	Mr. Zachary Mccarty PhD	O-	1906-05-14	"85597 Robinson Wall Suite 214
Johnmouth, RI 54022"	(Decimal('-2.8946755'), Decimal('-129.984179'))	White	821-94-3926
1734	M	"2111 Thompson Cape
New Timothy, NE 86833"	William Peters	O+	27 Sep 1932	"PSC 2327, Box 9277
APO AE 16308"	(Decimal('-46.387949'), Decimal('-44.305320'))	White	731-25-2253
1735	M	"1136 John Unions Apt. 232
North Gracetown, FL 23363"	Keith Price	A+	05/19/1906, 00:00:00	"326 Torres Knoll Suite 747
Laurenside, NC 75424"	(Decimal('-15.7297815'), Decimal('-126.260775'))	Hawaiian	823-05-8984
1736	M	"476 Walker Brook
Debrahaven, RI 01837"	Raymond Clark	B-	1914/02/13	"0834 Sanchez Grove Suite 374
Stephenport, SC 23320"	(Decimal('-52.089594'), Decimal('-16.174068'))	White	129-81-9425
1737	M	"PSC 3938, Box 8592
APO AA 04173"	Anthony Parker	AB-	1945-09-11	"2539 Dawn Rapids Apt. 591
Port Jasonview, TN 80852"	(Decimal('55.3953905'), Decimal('-3.984584'))	White	253-28-3640
1738	F	"2247 Jackson Mountains Suite 871
Port Melissaton, ID 88129"	Sherry Hughes	AB-	1962/01/23	"331 Allen Club Suite 938
East Lisa, DC 95858"	(Decimal('-87.196077'), Decimal('-175.697323'))	Black	467-49-0398
1739	M	"17823 Sanchez Prairie
North Michelleview, NJ 92769"	Phillip Grant	B+	1942/08/30	"75717 Smith Hollow
Lake Karenmouth, CO 59566"	(Decimal('18.907971'), Decimal('145.408825'))	White	788-38-2970
1740	F	"81228 Lewis Vista Apt. 103
New Steven, NV 49204"	Ashley Howard	O-	09/28/2003, 00:00:00	"30784 Hall Junction
Schmidttown, TN 44515"	(Decimal('20.2294025'), Decimal('7.594146'))	White	030-72-1146
1741	M	"677 Perry Rapid
Bradleybury, UT 41758"	Antonio Russell	A-	03 Oct 1977	"267 Jennifer Vista
Lopezview, ME 07459"	(Decimal('-52.9621115'), Decimal('-110.487927'))	Black	161-38-9623
1742	M	"44596 Stephens Ville
West Danielberg, SC 95899"	Kenneth Garcia	B-	12 Dec 1919	"8927 Stark Ridges Apt. 606
Lammouth, HI 89326"	(Decimal('-39.5295425'), Decimal('-0.066666'))	Black	091-12-1282
1743	M	"61388 Peterson Trail Apt. 569
South Sabrina, TN 60232"	Terry Villa	AB-	11 Sep 1909	"69973 Medina Alley Suite 422
Reidshire, VA 02253"	(Decimal('-39.8786295'), Decimal('-125.374701'))	White	130-76-7417
1744	M	"91492 Jimmy Orchard Apt. 096
Harrisview, WI 39548"	David Herrera	O-	06/30/1989, 00:00:00	"35077 Adam Station Apt. 382
Laurenbury, OR 13512"	(Decimal('-46.219546'), Decimal('-168.906610'))	White	526-40-6476
1745	M	"884 Andrew Loop
East Benjamin, WI 64587"	William Trujillo	A+	1931-07-29	"55836 Daniel Fork
Youngborough, IA 60945"	(Decimal('-40.738666'), Decimal('38.493284'))	White	238-18-1999
1746	M	"5855 Nolan Freeway
North Robertmouth, MO 83999"	Mr. Reginald Weaver	AB+	1926-12-23	"637 Black Fields Suite 202
West Tinaport, HI 16671"	(Decimal('-44.394408'), Decimal('-46.103264'))	Hawaiian	228-89-7373
1747	F	"871 Adams Ways Suite 370
Lake Sydney, TX 83208"	Carolyn Kelly	A-	1974-09-09	"73253 Barnett Island
North Teresaside, NE 98805"	(Decimal('82.4828925'), Decimal('-30.554547'))	Black	847-70-2041
1748	M	"87763 Paul Fords
Wrightborough, AK 00600"	Derek Peterson	B+	08/19/2009, 00:00:00	"81215 Alexis Curve
Frederickborough, MO 19542"	(Decimal('-18.385717'), Decimal('-6.947031'))	Asian	419-42-5069
1749	F	"61052 Lee Shoals Apt. 413
Lake Christine, MD 86999"	Kendra Sexton DDS	O-	1926/12/01	"28876 Mark Ville
South Jennifer, MN 16530"	(Decimal('-81.7701165'), Decimal('-78.967657'))	Black	075-09-7282
1750	F	"203 Williams Mills
Ewingburgh, CA 61505"	Brittney Conner	B-	01/06/1967, 00:00:00	"34384 Garcia Junction Apt. 293
New Eric, MD 40623"	(Decimal('-78.455976'), Decimal('-157.412895'))	White	498-21-2751
1751	F	"2613 Rodriguez Village Apt. 843
Jillmouth, AK 85906"	Madeline Morrow	AB+	23 Feb 1920	"6555 Wilson Grove Apt. 515
Lake Roy, GA 46159"	(Decimal('36.8803075'), Decimal('43.874817'))	White	340-37-5898
1752	F	"957 Sheppard Cape Suite 034
Lake Christophermouth, IL 85537"	Lindsey Rivera	A-	1993/01/23	"7243 Timothy Ridges
New Pamelaview, TX 84206"	(Decimal('-30.6963435'), Decimal('11.828364'))	Asian	412-87-0200
1753	M	"6365 Briggs View
Jamesside, PA 13680"	Cameron Mcintyre	AB+	11/16/1905, 00:00:00	"18776 Jason Burgs Apt. 252
Catherinefurt, CA 75860"	(Decimal('44.476568'), Decimal('65.657952'))	black	231-65-4353
1754	F	"007 Phillips Pine Suite 537
Lake Nicholas, NH 31274"	Sarah Rice	O+	2008/03/04	"626 Oconnor Views Apt. 257
Sandraberg, HI 49875"	(Decimal('-6.3588295'), Decimal('-108.955082'))	Asian	774-90-5561
1755	M	"0455 Paul Pine
Boyerport, WY 36385"	Tracy Gaines	A+	1968-08-03	"USCGC Scott
FPO AE 45099"	(Decimal('-68.2068975'), Decimal('157.513877'))	White	838-58-9738
1756	F	"249 Garcia Plains
East Jenna, FL 80085"	Jeanne Beard	A-	09 Apr 1970	"8239 Barrera Lock Suite 107
Port Marktown, MS 94207"	(Decimal('-31.2336725'), Decimal('133.151900'))	black	776-21-7176
1757	M	"9487 Williams Brooks
South Alison, AR 38959"	Alex Diaz	O-	28 Jul 1920	"557 Martin Loop
Joshuamouth, DC 58978"	(Decimal('-25.3667165'), Decimal('112.364567'))	White	035-04-9026
1758	M	"806 Wayne Skyway
East Ashleeport, SC 25201"	Cole Howard	B+	09 Jun 2011	"PSC 5551, Box 9952
APO AP 83375"	(Decimal('-52.383410'), Decimal('-3.839307'))	Black	130-56-0898
1759	F	"3987 Sanchez Courts
Port Erica, PA 49126"	Erin Jones	O-	11/25/1926, 00:00:00	"760 Hill Road Suite 450
New Gavinshire, ME 82165"	(Decimal('66.1821235'), Decimal('91.014596'))	Asian	212-23-4068
1760	M	"257 Sutton Islands Suite 381
Kellyview, KY 17730"	Kevin Martinez	B+	1942-12-05	"94778 Kennedy Lake
Hoodborough, FL 43609"	(Decimal('-23.9414345'), Decimal('-46.074726'))	White	343-55-3066
1761	F	"0115 Laura Vista
East Nicholasburgh, CA 26968"	Mindy Marquez	O-	1962-12-21	"4249 Gregory Extension Apt. 218
Rothborough, HI 05042"	(Decimal('-48.6076375'), Decimal('-79.844720'))	White	497-69-6234
1762	F	"112 William Haven
New Johnside, OH 21290"	Theresa Barajas	A+	25 Dec 1961	"5888 Lowe Wall
West Lisaberg, WY 81233"	(Decimal('88.177333'), Decimal('-17.046768'))	White	433-42-5838
1763	M	"68155 Donald Corner Suite 623
Johnsonberg, DE 31514"	Eugene Silva	B+	1981-07-30	"Unit 6127 Box 5204
DPO AP 84205"	(Decimal('-25.9088435'), Decimal('-67.489804'))	Black	053-79-0986
1764	F	"37546 Stacy Courts Apt. 019
Evansburgh, WA 91769"	Virginia Harris MD	B-	1972-03-05	"10239 James Trail
Phillipschester, WI 16973"	(Decimal('-0.003337'), Decimal('-157.373592'))	White	856-12-4938
1765	M	"07244 David Motorway Apt. 313
New James, TX 09378"	James Solis	A+	1913-05-01	"18125 Hunt Mills Apt. 428
Sototown, VT 29607"	(Decimal('87.7913245'), Decimal('16.629773'))	Black	169-47-0775
1766	M	"54545 Schultz Falls Suite 032
Rachelville, NH 03548"	Darrell Sanford	O+	05/21/1966, 00:00:00	"519 Jeremiah Inlet Apt. 955
New Joseph, SC 08975"	(Decimal('52.769597'), Decimal('161.639079'))	White	611-13-5903
1767	M	"1786 Amy Burg Suite 667
Jordanview, OK 29470"	Roberto Parker	B+	22 Oct 1944	"243 Taylor Loop
Myerstown, MI 74198"	(Decimal('71.071577'), Decimal('164.416026'))	White	117-25-7550
1768	M	"Unit 7431 Box 7769
DPO AA 74486"	Robert Martinez	AB+	1930/01/14	"96840 Dana Wells
North Lisaborough, ID 27502"	(Decimal('2.957169'), Decimal('145.329292'))	Indian	230-88-6187
1769	M	"704 James Wells Suite 941
Port Jason, SC 58437"	Mark Banks	A+	12/05/1987, 00:00:00	"63691 Donna Square
Silvahaven, MD 82223"	(Decimal('17.874789'), Decimal('0.975279'))	White	869-98-2061
1770	M	"84435 Young Causeway Apt. 686
East Chris, LA 13153"	Luis Maynard	O+	27 Aug 2017	"1917 Lindsey Lakes
Walkerton, CT 13946"	(Decimal('-9.4108415'), Decimal('-155.295249'))	Black	395-01-3109
1771	M	"3966 Sarah Canyon
East Anna, MI 65149"	Scott Hamilton	O+	1996-01-20	"040 Alejandra Divide
East Gabrielville, NY 96823"	(Decimal('-15.3609405'), Decimal('59.909619'))	Asian	368-58-5563
1772	F	"0208 Kristin Greens Suite 388
West Christopherfort, OK 10144"	Amy Carpenter	A-	1932-02-12	"155 Sherman Valleys
Mckaytown, MI 49339"	(Decimal('20.692254'), Decimal('-21.366654'))	Black	088-75-5218
1773	F	"954 Higgins View Apt. 723
Stevenland, DC 08686"	Bonnie Banks	AB-	01 Dec 1978	"Unit 2987 Box 4343
DPO AA 16670"	(Decimal('-76.740481'), Decimal('-69.802744'))	Black	717-05-6896
1774	F	"31390 Burke Ports
Tranport, MT 81125"	Sarah Owens	O+	1939/10/07	"112 Albert Fields
Port Rebeccachester, MA 26193"	(Decimal('-29.3943965'), Decimal('-128.231435'))	White	585-17-8450
1775	F	"4037 Robinson Shore
South Kaylashire, KY 17066"	Terry Burke	A-	1971-01-04	"71537 Taylor Plain Apt. 435
Lucasmouth, CO 03356"	(Decimal('-44.974484'), Decimal('-146.031787'))	Black	492-74-5551
1776	F	"8781 Bradley Cove Apt. 912
Padillaland, SC 06501"	Margaret Montoya	B+	28 May 1935	"2410 Andrew Hills
Patrickburgh, KS 31662"	(Decimal('-59.969914'), Decimal('56.449739'))	White	443-79-7971
1777	F	"397 Jesse Estate
Lake Scott, NH 09984"	Kelsey Walker	O-	1933/08/26	"50558 Margaret Squares Apt. 708
West Sarahport, NH 97603"	(Decimal('32.505527'), Decimal('64.361138'))	White	461-84-6420
1778	M	"748 Gonzales Harbors
Dwaynefurt, DC 53582"	Brian Bauer	O+	1955/10/03	"137 Sara Passage Apt. 335
Alexandrachester, ID 07747"	(Decimal('56.9527785'), Decimal('-53.596566'))	Indian	831-21-1493
1779	F	"20735 Roman Village
Port Michael, UT 93133"	Andrea Jones	AB-	21 Jan 2005	"9830 Debra Shoals
Bradleyshire, NM 28089"	(Decimal('-88.909074'), Decimal('169.886230'))	White	343-35-7010
1780	F	"77653 Sarah Oval Suite 617
Richardsonville, MT 82182"	Joy Mcdonald	AB-	11/04/2001, 00:00:00	"7093 Newman Estate Apt. 260
Alexandrastad, MN 14350"	(Decimal('-27.3737355'), Decimal('-98.315631'))	White	552-56-3643
1781	M	"109 Rose Burgs Apt. 774
Nolanbury, AL 26409"	Justin Lucas	AB+	1956-06-28	"PSC 1143, Box 5342
APO AE 90700"	(Decimal('-16.0541315'), Decimal('112.152070'))	White	581-03-4975
1782	M	"649 Robert Ways
South Joseville, NC 16141"	Angel Mathews	A-	1954/01/31	"1317 Kelley Trail Suite 557
Port Jerrychester, PA 64799"	(Decimal('-10.933037'), Decimal('-174.071434'))	Black	529-71-1027
1783	M	"55476 Mcconnell Haven Suite 184
Hensonside, WA 02620"	Kevin Randall	AB-	1921/05/15	"1806 Katherine Canyon Suite 880
Madisonport, LA 06383"	(Decimal('37.7121725'), Decimal('-120.517989'))	White	134-85-4148
1784	M	"Unit 8906 Box 9946
DPO AE 53005"	Richard Chambers	O-	08/17/2007, 00:00:00	"302 Kramer Mews
Lake Wayneville, NH 61291"	(Decimal('-13.7014325'), Decimal('-28.075907'))	Black	619-17-1462
1785	M	"2939 Lori Land Suite 815
New Michael, DE 05974"	Brandon Brock	O-	1937-03-02	"44732 David Manor
Watkinsview, KS 38822"	(Decimal('68.3302775'), Decimal('77.516485'))	White	385-08-8391
1786	M	"939 Julia Roads Suite 451
New Cynthiaborough, VT 91173"	Jeffrey Greene	AB-	1909/04/18	"PSC 4205, Box 4977
APO AA 89459"	(Decimal('9.385454'), Decimal('92.428288'))	Black	159-53-4702
1787	M	"832 Bell Wells
New William, WV 81898"	Allen Boyd	B-	2001/11/04	"5459 Powell Junctions
Navarroburgh, MN 22964"	(Decimal('11.516346'), Decimal('-86.922445'))	White	756-33-8906
1788	M	"81358 Jacob River Suite 112
New Beverly, KS 51484"	Thomas Tanner	A+	09/14/2010, 00:00:00	"309 Sean Cliffs Apt. 389
Rothmouth, DC 67429"	(Decimal('49.520782'), Decimal('-34.871866'))	Black	883-18-8922
1789	F	"PSC 0947, Box 4570
APO AP 80081"	Taylor Anderson	A+	2007/08/03	"32453 Johnson Viaduct Apt. 446
Port Jeffreyville, AZ 61928"	(Decimal('-45.976026'), Decimal('158.096373'))	Black	635-11-4667
1790	M	"Unit 1332 Box 5593
DPO AP 26631"	Jordan Green	AB-	02 Jun 1944	"3982 Melton Mission
Kennethberg, MA 15678"	(Decimal('-65.088790'), Decimal('-24.104608'))	White	630-14-2189
1791	F	"28817 Michael Field
North Jamesmouth, KS 13599"	Lauren Thomas	B-	1945/05/17	"5600 Gregory Prairie
Garrettport, ID 47977"	(Decimal('-29.6973675'), Decimal('148.002684'))	White	379-91-7819
1792	M	"5930 Perry Ridge
East Christianport, CO 23260"	Erik Norris	B-	1932-11-13	"5970 Richard Mountains
South Julianview, AK 01467"	(Decimal('48.3396495'), Decimal('-65.770534'))	White	784-24-2564
1793	M	"63082 Tanya Gardens
Lake Hannahburgh, AK 30914"	Brett Baker	O+	2005-08-21	"PSC 4725, Box 6259
APO AE 29140"	(Decimal('21.235535'), Decimal('21.526480'))	Black	047-41-5979
1794	F	"Unit 3631 Box 4970
DPO AP 73340"	Rebecca Ellis	A+	02/13/1981, 00:00:00	"94658 Boyd Inlet
Michellebury, DC 91157"	(Decimal('55.217399'), Decimal('116.609447'))	Black	036-90-4665
1795	F	"PSC 2372, Box 2404
APO AE 59553"	Cynthia Williams	O-	17 Mar 1983	"2036 Williamson Garden Apt. 370
New Karen, AL 54070"	(Decimal('-55.6007725'), Decimal('89.735110'))	White	278-75-8581
1796	M	"4374 Patricia Junctions
Russoland, VA 20573"	Raymond Vang	AB-	1964/06/04	"1039 Samuel Green
West Nicholas, AZ 31240"	(Decimal('-40.6264695'), Decimal('81.798607'))	Asian	372-13-6215
1797	F	"660 Collins Fords
South Lauren, CT 57146"	Andrea Simmons	A+	1933/04/05	"56894 Linda Glen
North Lisaview, NE 10442"	(Decimal('-69.650307'), Decimal('-141.063863'))	White	459-49-9749
1798	F	"2682 Jared Cove Suite 204
Martinmouth, VT 39845"	Julie Hunter	A-	1939/06/10	"75991 Matthew Underpass
Joneshaven, CO 60161"	(Decimal('81.307714'), Decimal('-13.018687'))	Black	761-06-7390
1799	F	"779 Nicole Square
Port James, ME 38336"	Mrs. Lisa Moore	A-	10 Jan 1909	"726 Martin Cape Apt. 936
Cindyhaven, LA 12533"	(Decimal('24.389818'), Decimal('-132.701623'))	White	252-84-9465
1800	F	"1492 Gregory Place Apt. 171
West Carlosburgh, RI 86094"	Gabrielle Brooks	B-	04 Dec 1951	"1773 Sara Keys
Kimberlyhaven, VA 15532"	(Decimal('-85.2857855'), Decimal('151.652474'))	White	353-14-2269
1801	M	"21958 Danielle Island
East Jennifer, NY 47276"	James Mcgee	A-	09/02/2015, 00:00:00	"4700 Christine Terrace
Port Brian, TX 62303"	(Decimal('-50.923980'), Decimal('-129.183391'))	White	339-99-1497
1802	M	"36334 Miller Bypass
Donnamouth, CT 13820"	Joshua Bauer	B-	09/20/1968, 00:00:00	"30856 Derrick Tunnel
South Evanview, WY 97190"	(Decimal('-17.640632'), Decimal('-106.463482'))	White	768-07-4699
1803	M	"Unit 2304 Box 5463
DPO AA 40455"	Phillip Moreno	A+	1973/04/11	"Unit 7487 Box 8307
DPO AP 17362"	(Decimal('57.5314075'), Decimal('164.242094'))	White	578-61-2118
1804	M	"19516 Edward Lakes Apt. 814
Wrightfort, WA 01351"	Brian Cohen	B+	1972/09/28	"6567 Smith Port
Deckerborough, AL 64638"	(Decimal('48.7634995'), Decimal('-142.448188'))	Indian	002-71-9864
1805	M	"34707 Justin Village
Jasminefurt, NC 07704"	Clifford Harvey	AB-	1983-06-05	"85384 Ortega Greens
West Claire, NE 70294"	(Decimal('-26.055829'), Decimal('-134.630551'))	White	279-28-1210
1806	M	"Unit 6262 Box 0371
DPO AE 49382"	David Leonard	B-	16 Jan 2002	"17459 Timothy Pine Suite 742
Kristiside, AK 10308"	(Decimal('60.636176'), Decimal('90.947870'))	Black	540-77-8913
1807	F	"00736 Brenda Mission Suite 513
Cooperstad, OR 64051"	Jennifer Cox	O+	1985/01/12	"8962 Mary Unions Suite 757
Josephton, AR 94732"	(Decimal('-20.6129815'), Decimal('62.295534'))	Asian	897-14-9241
1808	M	"PSC 2289, Box 6903
APO AE 20085"	Daniel Nelson	B-	1906-11-15	"653 Eric Mount
South Colinfurt, DC 20366"	(Decimal('-15.392515'), Decimal('31.261958'))	Black	655-58-2356
1809	F	"16870 Reyes Ferry Apt. 182
Normanshire, MA 62269"	Michelle Elliott	O+	1974-03-27	"USNV Blake
FPO AP 29959"	(Decimal('34.8126055'), Decimal('-105.551355'))	Black	359-72-8298
1810	F	"5057 Robertson Mount Apt. 395
East Phyllisview, DE 53990"	Kelly Hobbs	O-	11/28/1962, 00:00:00	"56499 Darren Track Apt. 107
Wilsonfort, AR 65443"	(Decimal('-10.4039045'), Decimal('-15.153690'))	White	171-45-2454
1811	M	"640 Zachary Throughway Suite 519
North Jason, MN 32480"	Spencer Flores	B+	18 Sep 2013	"100 Tiffany Burg Apt. 337
Colleenfurt, OR 15763"	(Decimal('-54.3581545'), Decimal('133.877772'))	White	689-27-1262
1812	F	"17337 Jeffery Fort Apt. 946
East Scott, HI 89086"	Abigail Rogers	AB+	2000/10/10	"0842 Erica Common
Hollandside, SC 12105"	(Decimal('7.5483735'), Decimal('145.031998'))	White	139-22-1776
1813	F	"051 Christina Ways Suite 228
South Valerieberg, SC 74679"	Melissa Jackson PhD	A+	06/19/2001, 00:00:00	"858 Todd Run
Samuelville, UT 91507"	(Decimal('-87.9068135'), Decimal('85.586510'))	Hawaiian	050-29-5947
1814	F	"USCGC Wright
FPO AA 47384"	Susan Brown	A-	1940-02-24	"121 Chambers Extension
West Nicholastown, MA 75784"	(Decimal('-7.173196'), Decimal('-30.499860'))	White	105-20-0220
1815	M	"9977 Travis Roads
Snyderside, WV 36644"	Shane Hendricks	O+	25 May 1912	"PSC 7633, Box 2567
APO AP 97717"	(Decimal('-39.278059'), Decimal('-38.717132'))	Black	894-31-1588
1816	M	"272 Edwards Bridge Apt. 780
West Kelsey, MS 26161"	Joel Williams	A+	25 Feb 2020	"0358 Tran Vista
Port Joyceville, MS 92245"	(Decimal('-22.951517'), Decimal('51.477385'))	Hawaiian	500-99-3571
1817	M	"1528 Campbell Heights
Masonberg, OH 12498"	Anthony Lee	AB-	13 Jan 1908	"4460 Miller Inlet
Lake Nancystad, IN 23135"	(Decimal('8.0571215'), Decimal('-172.652325'))	White	074-06-7472
1818	F	"5984 Lewis Wall
Cynthiamouth, VA 54865"	Mackenzie Curtis	AB-	27 Oct 1974	"7633 Bryan Greens
Amystad, SD 52685"	(Decimal('-31.973585'), Decimal('-151.506995'))	White	501-19-2939
1819	M	"Unit 0542 Box 6186
DPO AP 90757"	Tyler James	O+	1936/10/25	"79212 Boyd Garden
Emilymouth, MN 27624"	(Decimal('30.7676595'), Decimal('-140.307559'))	Black	438-83-1987
1820	F	"81162 Deanna Oval Apt. 742
Lake Jacobview, WI 77580"	Melinda Short	O+	1967-02-20	"59298 Haas Locks Apt. 697
Rebeccaberg, AL 23158"	(Decimal('37.332030'), Decimal('-131.396124'))	Black	879-80-2863
1821	M	"PSC 2529, Box 6383
APO AE 99275"	Kelly Weaver	AB-	2002/11/29	"4924 Heather Light
Morenomouth, WV 02639"	(Decimal('19.1357595'), Decimal('-94.626898'))	White	197-21-1980
1822	M	"7059 Brandi Port Suite 195
Grantborough, KS 44951"	Craig Graves	B+	2005/09/23	"PSC 4042, Box 8497
APO AP 09295"	(Decimal('-36.664485'), Decimal('102.780818'))	White	856-61-8977
1823	M	"47562 Young Estate Suite 673
South Michael, NC 56367"	Curtis Green	AB-	2016/03/26	"928 Morris Ways
South Kristin, CA 10087"	(Decimal('-7.8030775'), Decimal('28.566955'))	Black	761-89-8613
1824	F	"71000 Ruben Rest Suite 653
Emilyshire, RI 48063"	Rachel Moore	O+	1973/12/14	"09955 Davis Divide Apt. 863
Vasquezport, VA 96250"	(Decimal('-5.7832915'), Decimal('-67.155996'))	White	074-27-8566
1825	M	"117 Campbell Lights
North Bradley, MS 22442"	Allen Lee	AB+	02/15/1983, 00:00:00	"25167 Jennifer River Suite 472
East Teresastad, AL 24465"	(Decimal('57.4524675'), Decimal('142.146634'))	Indian	105-73-5105
1826	M	"18517 Rhonda Roads Suite 638
South Noahborough, VT 28788"	Nicholas Rodgers	O+	07/25/1925, 00:00:00	"8015 Christopher Ridges
Kingport, NY 39538"	(Decimal('79.2507775'), Decimal('-117.782729'))	Black	798-80-5198
1827	F	"PSC 8255, Box 6603
APO AP 66857"	Mrs. Phyllis White	B-	1982/04/21	"8508 Goodwin Place
Dominiqueshire, MO 48729"	(Decimal('83.583107'), Decimal('119.763535'))	White	085-08-2696
1828	F	"100 Munoz Wall
Lake Ashlee, OK 38432"	Jennifer Johnson	B-	10 Feb 1981	"PSC 6802, Box 4434
APO AP 08810"	(Decimal('-71.161492'), Decimal('-81.061368'))	White	200-28-4384
1829	F	"2551 Thomas Meadow Suite 630
Port Margaret, VA 88160"	Candace Harding	B+	1911-12-02	"82191 Henderson Cliff Suite 115
South Alexis, MO 95804"	(Decimal('-89.608952'), Decimal('145.401856'))	Asian	424-09-2020
1830	F	"9416 Baker Brook Apt. 413
Port Lisa, TX 10471"	Sabrina Brown	AB+	1951/05/23	"USCGC Smith
FPO AE 21145"	(Decimal('-0.501188'), Decimal('36.838348'))	White	489-36-7796
1831	F	"4979 Thompson Place Suite 970
Jamesmouth, NJ 40832"	Amy Odom	AB+	1988-10-20	"935 Marcus Ridge
Lewismouth, LA 93801"	(Decimal('1.224698'), Decimal('-48.783207'))	blsck	779-73-3684
1832	F	"3426 Samantha Stravenue Suite 018
Debbieside, MS 81223"	Kelsey Fernandez	A-	1945-04-02	"902 Paul Corner Apt. 144
Lake Joann, AL 69588"	(Decimal('88.563918'), Decimal('161.748714'))	White	421-89-8290
1833	F	"05243 Davis Groves Suite 400
Mcneilfurt, AK 29025"	Paige Garner	AB-	05/17/1930, 00:00:00	"8075 Christopher Dale Apt. 684
West Erin, VT 03314"	(Decimal('52.886457'), Decimal('133.507129'))	White	721-64-6014
1834	M	"6928 Blake Ferry Apt. 844
Donnahaven, LA 23916"	Michael Hoover	A-	08/30/1908, 00:00:00	"245 Luis Bypass Suite 048
Andersonchester, TN 47057"	(Decimal('-89.7369465'), Decimal('5.521378'))	White	549-99-2505
1835	F	"643 Lucero Park Apt. 492
South Elizabethland, TN 99908"	Terri Rodriguez	B+	02 Dec 2019	"369 Robertson Pines Suite 469
Port Nancy, MI 50100"	(Decimal('-64.356670'), Decimal('-40.614933'))	White	630-50-2706
1836	F	"6868 Charles Plaza Suite 346
Oconnormouth, RI 81115"	Allison Barry	AB-	30 Nov 1983	"550 Aguilar Corner Suite 574
New Leahville, MT 59793"	(Decimal('-14.8340235'), Decimal('-92.809378'))	black	492-31-0989
